The Brooklyn Hospital Center,,,
Charge Master Pricing,,,
,,,
The charges listed are generally not the amount a patient will pay.,,,
,,,
Charge No,Charge Description, Standard Charges ,Comment
03624650,COMP FEM RPS FLX CEM SZ STD+ R," 10,018.40 ",
03624730,STEM CEM TIB EXTN TAPR13X120MM," 3,107.39 ",
03625002,LINER ACET FC CON +4 10D 44X72," 12,257.65 ",
03625984,KIT SEALANT FIBRIN 4ML TISSEEL, 615.43 ,
03626252,SCREW WRIST LOCK HD7 2.5X20MM, 332.18 ,
03626281,GRAFT BONE INFUSE KIT SM," 8,886.33 ",
03626755,DEVICE ENDOVASC 5.4FX40X106CM," 6,682.13 ",
03627336,DERMIS PROC TUTOPLAST 6CMX8CM," 4,274.50 ",
03628987,STEM FEM CYL PS 135MM STR 16.5," 9,282.88 ",
03629125,SHELL ACET BIPOLAR SLR 51MM," 2,181.03 ",
03629233,INSRT TIBIAL CONGRUENT 1-2X10," 5,665.00 ",
03629234,SCREW BONE T10 3.5X10MM, 270.38 ,
03629235,SCREW BONE T10 3.5X14MM, 270.38 ,
03629236,SCREW BONE T10 3.5X146M, 270.38 ,
03629237,SCREW CANNULATED 4X40MM, 666.93 ,
03629238,PLATE 3H DISTAL LAT FIBULA," 2,356.13 ",
03629243,SCREW NON-LCKNG HELIX 3.5MMX24, 538.18 ,
03629244,SCREW NON-LCKNG HELIX 3.5MMX26, 538.18 ,
03629245,SCREW LCKNG HELIX 3.5MMX26MM, 538.18 ,
03629246,SCREW LCKNG HELIX 3.5MMX22MM, 538.18 ,
03629247,SCREW CMPRSSN HELIX 4.0MMX22MM, 538.18 ,
03629248,PLATE LAPIDU OR 5 HOLE HELIX," 3,592.13 ",
03629249,WIRE 1.4MM HELIX, 38.63 ,
03629252,FEM HEAD 36MM NECK -3.5MM LONG," 3,553.50 ",
03629269,IMPLNT MEDPORE TITAN FANMTM 0.," 3,200.73 ",
03629275,GRAFT VASC PROPATEN RNGD 8MMX5," 7,055.50 ",
03630273,MESH PARIETEX PROGRIP 15X9CM, 832.73 ,
03630276,MESH KNITTED VICRYL 12X12," 3,167.69 ",
03630277,OSTEOSPONGE STRIP 50X10X7MM," 2,884.00 ",
03630296,FEMORAL HIP SIZE 9," 19,183.75 ",
03630297,ACETABULAR SHELL FLARED 50MM," 6,952.50 ",
03630301,K-WIRE .45MM AW1105, 206.00 ,
03630318,MESH PHASIX 10X12," 29,612.50 ",
03630319,WALLSTENT ENDOPRSTHSS 18X90 75," 4,649.83 ",
03630320,PLATE ARCH BAR MULTI HOLE, 836.88 ,
03630321,SCREW LCKNG  S-DRILL MMF 2X8MM, 360.50 ,
03630328,STENT EPIC VASCULAR 10X40X75," 3,090.00 ",
03630344,HYDROSET 5CC HA BONE SBSTT INJ," 4,647.88 ",
03630345,SCREW ASNIS 3.0X20MM, 757.05 ,
03630348,SCREW LCKNG  SLFTP MMF 6MM, 360.50 ,
03630352,BREAST IMPLNT SILICONE GEL 550," 2,446.25 ",
03630365,FEM HEAD BIOLOX," 3,862.50 ",
03630369,FEM HEAD 28LNGNCK -3.5LNGTPRSL," 3,553.50 ",
03630381,SCREW LCKNG 3.5MMX20MM, 561.35 ,
03630384,SCREW LCKNG 3.5MMX28MM, 561.35 ,
03630385,K-WIRE TROCAR POINT .045 BX/6, 540.75 ,
03630390,GRAFT HIATAL HERNIA 7X10 STD," 2,472.00 ",
03630393,STEM STRAIGHT 20X110MM," 3,615.30 ",
03630396,SCREW BONE T10 3.5X20MM, 270.38 ,
03630397,K-WIRE 1.6MM, 147.96 ,
03630398,PLATE 4 HOLE FIBULAR," 2,356.13 ",
03630401,ROIC IMPLANT 6MM 14X15.5MM," 7,725.00 ",
03630425,STENT SYS WALLFLEX ESPHGL 23X1," 6,630.63 ",
03630430,SCREW CNCLLS ST 6.5MMX5.0CM, 311.58 ,
03630433,WRIGHT MED. CALCIUM SULFATE 5C," 2,188.75 ",
03630438,HOLDING PIN, 538.18 ,
03630449,MESH PHASIX  6INX8IN," 11,523.13 ",
03630455,MESH VICRYL KNITTED 6X6," 1,891.11 ",
03630458,PLATE 16H CMF MINI, 400.29 ,
03630459,SCREW CROSS PIN 2.3X6MM, 157.13 ,
03630463,WRIGHT PACK PIN ADVANCED EVOLU, 659.20 ,
03630466,STENT EPIC VASCULAR 9X81X75," 3,090.00 ",
03630469,GUIDE PIN 2.0MMX125MM, 167.38 ,
03630473,SCREW CNNLTD PTQCK FIX  2.4X14, 321.88 ,
03630488,IMPLANT LEGACY 4.5MMX8MM, 450.63 ,
03630489,IMPLANT DENTAL 3.7DX8, 450.63 ,
03630492,SCREW BONE SLF TAP 2.3X 8, 334.75 ,
03630499,KWIRE 3.0MM, 103.00 ,
03630511,WEDGE ALLOGRAFT CNCLLS 8MMX18X," 5,137.13 ",
03630512,WEDGE ALLOGRAFT CNCLLS 6MMX24X," 5,137.13 ",
03630514,PRI-MATRIX TISSUE MEND 8CMX8CM," 7,096.70 ",
03630527,KWIRE 1.35MM, 38.63 ,
03630531,SCREW BONE CNCLLS 6.5MMX20MM," 1,158.75 ",
03630532,FEM STEM CMNTLSS PLSM 9MM LTRL," 9,785.00 ",
03630535,PEEK CAGE VAULT 7 DEG 7X14X12M," 7,210.00 ",
03630536,PLATE  7X14X12MM," 3,592.13 ",
03630537,SCREW  3.5MMX17MM," 1,145.88 ",
03630539,SCREW 3.5MMX15MM," 1,145.88 ",
03630540,STEM PRO FEMUR ZPLSM SZ5 125MM," 8,240.00 ",
03630541,FEM HEAD BIOLOX DELTA SZ36 SHO," 5,665.00 ",
03630543,IMPLNT TIMBERLINE 8DEG  8X45X1," 13,392.58 ",
03630553,INSRT ACTBLR 20DEG SZ3 2MM 52M," 3,605.00 ",
03630566,PEEK CAGE VAULT 7DEG 6X6X14MM," 7,210.00 ",
03630567,PLATE 6MX16X14MM," 3,592.13 ",
03630575,COM FEM EVOLUTION MP SZ6 LT," 4,954.30 ",
03630576,INSRT EVOLUTION MP CS SZ5+ 12M," 2,868.55 ",
03630589,WALLSTENT ENDOPRSTHSS 14X60 75," 2,623.80 ",
03630590,DELTA FEM HEAD SZ36 NECK LONG," 5,665.00 ",
03630591,SCREW NONLCKNG 3.5MMX20MM, 561.35 ,
03630592,SCREW LCKNG 3.5MMX16MM, 561.35 ,
03630594,K-WIRE FOR STAPLE SM, 54.08 ,
03630595,PLATE 2 HOLE WEDGE 8MM," 3,929.45 ",
03630600,NEUROSTIMULATOR ENTERRA 3116 H," 23,281.86 ",
03630601,LEAD ENTERRA W/10MM LCTRD HDE," 6,061.55 ",
03630604,ACETABULAR SHELL FLARED 56MM," 5,150.00 ",
03630605,ACETABLAR INSRT 10DEG SZ36 56M," 3,605.00 ",
03630625,STENT ESOPHGL WALLFLEX 15X23X1," 6,630.63 ",
03630654,UNI-SYN STEM 13X140 STRGHT FLT," 9,594.45 ",
03630655,UNI-SYN BODY 24X22 STND TI PLS," 8,399.65 ",
03630657,FEM  HEAD 28MM +10MM," 2,446.25 ",
03630658,INSRT ACETBLR 20 DEG SZ28MM 50," 3,605.00 ",
03630673,STENT EPIC VASCULAR 7.0X60X75," 3,090.00 ",
03630680,INSRT EVOLUTION MP CS SZ5 12MM," 2,868.55 ",
03630681,FEM HEAD DELTA SZ36MM NECK MED," 5,665.00 ",
03630703,NANOSS BIOACTIVE LOADED 10CC," 4,956.88 ",
03630704,NANOSS BIOACTIVE LOADED 5CC," 2,446.25 ",
03630706,NANOSS BIOACTIVE BONE VOID 1CC, 746.75 ,
03630714,MESH PHASIX  8X10IN," 19,183.75 ",
03630715,MESH PHASIX  4X6IN," 5,690.75 ",
03630726,IMPLANT HEAD 10X22MM," 3,841.90 ",
03630740,SCREW LONG THRDD 2.5X14MM, 538.18 ,
03630741,INSRT EVOLUTION MP CS SZ6 LT12," 2,868.55 ",
03630745,INSRT EVLTN MP CS SZ4+ RT 12MM," 3,514.88 ",
03630746,PACK PIN ADVANCED EVOLUTION, 659.20 ,
03630754,IMPLNT ROIC 7MM 14 X 15.5MM," 7,725.00 ",
03630756,IMPLNT EXTREMIFUSE 2.4MMX10DEG," 3,334.63 ",
03630757,"K-WIRE .035X3""", 51.50 ,
03630760,IMP BREAST ROUND HIGH PROF 250," 2,523.50 ",
03630761,TIB BASEPLATE STEMMED COCR SZ1," 5,665.00 ",
03630763,SCREW LCKNG 2.7X16MM, 739.03 ,
03630764,SCREW LCKNG 2.7X14MM, 739.03 ,
03630766,CORETRACK EX-FIX STANDARD," 5,432.74 ",
03630776,FEM STEM SNTD CMNTLSS PLSM 7.5," 9,785.00 ",
03630781,INFUSE BONE GRAFT XX-SML 0.7CC," 2,255.70 ",
03630783,SCREW CROSS PIN BONE 1.7X3MM S, 140.03 ,
03630784,SCREW CROSS PIN BONE ST 1.7X4M, 140.03 ,
03630786,EMERGENCY SCREW 1.9X5MM, 152.32 ,
03630794,MATRIX WOUND  MESHED 5CM X 5CM," 6,929.33 ",
03630799,IMP BREAST MEMORY  GEL 425CC," 2,523.50 ",
03630800,IMP BRST TISS XPNDR MED HT 450," 3,914.00 ",
03630801,IMP BRST TISS XPNDR MED HT 550," 3,914.00 ",
03630802,IMP BRST TISS XPNDR MED HT 650," 3,914.00 ",
03630805,SCREW CORTEX 2.5MMX15MM, 206.00 ,
03630807,PRI-MATRIX TISSUE MEND 4CMX4CM," 2,446.25 ",
03630809,PRI-MATRIX TISSUE MEND 6CMX6CM," 5,150.00 ",
03630810,MATRIX TISSUE MEND 5CMX6CMX1MM," 5,150.00 ",
03630811,MATRIX TISSUE MEND 6CMX10CMX1M," 7,725.00 ",
03630812,LIGASURE SEALR/DIVIDER BLUNT T," 1,406.75 ",
03630815,INSRT TIB PCL SBSTT SZ 3-4 X10," 5,665.00 ",
03630832,INSRT EVOLUTION MPCS SZ5+10MM," 2,327.80 ",
03630838,LIGASURE SEALR/DIVIDER CRVD36-," 1,758.45 ",
03630839,MESH VENTRALIGHT ST 7X9IN," 4,338.88 ",
03630841,FEMORAL HEAD SZ 32MM NECK LONG," 5,665.00 ",
03630847,GRAFT MATRIX DURAGEN 2X2 5CMX5, 966.35 ,
03630848,SURGIFLO HMSTTC MTRX PLUS FEXT, 798.35 ,
03630849,SCREW BONE 3.5 X10MM, 115.88 ,
03630850,PLATE WAISTED COMP 110MM 7HOLE, 579.38 ,
03630851,SCREW ASNIS 2.0 X 14MM, 757.05 ,
03630859,INSRT TIB CONGRUENT SZ 5-6  12," 5,665.00 ",
03630862,IMP BREAST TISSUE XPNDR M HT 3," 3,785.25 ",
03630866,SCREW THRDD LONG 2.5X16MM, 538.18 ,
03630870,LEAD NRSTMLTR PENTA 3MM60CM 32," 17,381.25 ",
03630871,BTB TIGHTROPE W/DRILL PIN," 1,565.60 ",
03630879,SCREW LOCKING  2.7 X 18MM, 373.38 ,
03630880,LINER ACTB FMP 36MM LINER-E-PL," 4,459.90 ",
03630881,HIP FEM  P2 POR CT SZ 13.5," 11,819.25 ",
03630883,SCREW CANN HEADLESS 3.0 X 22MM, 952.75 ,
03630884,PLATE OLECRANON RT 4H," 3,921.73 ",
03630886,SCREW NON-LCKNG 3.5 X 26MM, 334.75 ,
03630887,SCREW NON-LCKNG 3.5 X 24MM, 334.75 ,
03630889,SCREW NON-LCKNG 3.5 X 28MM, 334.75 ,
03630895,IMPLANT LEGACY DENTAL 3.7X11.5, 386.25 ,
03630896,FEM HEAD SZ 32MM NECK MED," 5,665.00 ",
03630898,PM GEN ADVISA DR MRI A2DR01," 19,073.03 ",
03630900,IMPLANT LEGACY DENTAL 3.7X10MM, 386.25 ,
03630902,MENISCAL BRNG SM RT 6M ANATOMI," 2,963.83 ",
03630903,MEDIAL TIBIAL TRAY SIZE B RT," 6,339.65 ",
03630907,VENA CAVA FILTER SYSTEM 32MM," 2,703.75 ",
03630914,SCREW CAPTURE 2.5MM X 14MM, 741.84 ,
03630922,PATELLAR OVAL SZ 3 X 10MM," 1,545.00 ",
03630931,INSRT EVOLUTION MP CS SZ6RT 12," 2,868.55 ",
03630932,IMPLNT LEGACY DENTAL 3.7X13MM, 450.63 ,
03630933,IMPLNT LEGACY DENTAL 3.2X11.5M, 515.00 ,
03630936,K-WIRE TROCAR .35MMX11MM, 38.63 ,
03630937,SCREW THRDD HELIX LONG 3.2X16M, 583.24 ,
03630938,IMPLNT  ENCOMPAS 16MM HA COATE," 6,952.50 ",
03630961,INSRT EVOLUTION MP CS SZ3 RT12," 3,090.00 ",
03630972,PLATE POCKET LOCK HELIX," 3,592.13 ",
03630975,TENOGLIDE TNDN PRTCTR SHEET 2X," 6,743.93 ",
03630977,SCREW BONE 2.3 X12MM, 334.75 ,
03630981,STENT EXPRSS ILIAC/BIL7F10X57," 3,395.37 ",
03630983,GRAFT MATRIX DURAGEN 2.5CMX7.5," 4,034.87 ",
03630984,FEM CMPNNT EVOLUTION MP SZ2 LE," 4,954.30 ",
03630986,INSRT EVOLUTION MPCS SZ2 L 10M," 2,868.55 ",
03630987,IMP BREAST ROUND HIGH PROF 800," 2,446.25 ",
03630989,OSTEOSELECT DBM PUTTY 2.5CC SR, 875.50 ,
03630992,SCREW LCKNG 5 X 75MM, 721.00 ,
03630993,SCREW LCKNG 5 X 57.5MM," 1,163.90 ",
03630994,SCREW LCKNG 5 X 37.5MM, 721.00 ,
03630997,SCREW LCKNG 5 X 47.5MM, 721.00 ,
03630998,SCREW LCKNG F-THRD 4X30MM, 708.13 ,
03630999,SCREW LCKNG 5X50MM, 721.00 ,
03631006,SCREW CORTICAL 3.5 X14MM, 200.85 ,
03631009,PROFEMUR NECK PLUS LONG VAR/VA," 4,223.00 ",
03631012,SCREW LG SPIN 2MMX 11MM, 767.59 ,
03631013,SCREW CAPTURE 3.0MM X 16MM, 822.76 ,
03631014,SCREW LOW-PROFILE 6.5MMX40MM, 247.20 ,
03631015,SHELL ACTB FLRD W/HOLE 54MM2 P," 4,463.51 ",
03631016,CABLE SLEEVE DALL MILES SZ 2.0," 1,060.90 ",
03631017,PLATE RCHNTRC 210MM SZLG W/2CB," 6,711.48 ",
03631018,STENT EPIC OTW 8X80MM120CM," 3,090.00 ",
03631022,SCREW 2.0X8MM MMF, 317.29 ,
03631023,SCREW  CANNULINK 2.2," 3,149.10 ",
03631028,ALLOGRAFT MTF FLEXHD 8CMX16CM," 11,025.04 ",
03631029,PLATE VOLAR DR NARROW LT 7-HOL," 2,781.00 ",
03631032,SCREW BONE 2.7MMX18MM, 321.88 ,
03631046,SCREW TI CANN LAG 2.3MMX16MM, 424.88 ,
03631053,FEM HEAD DELTA SZ 2MM NECK SHO," 5,665.00 ",
03631063,BONE SCREW 1.5 X 10MM, 206.00 ,
03631067,BONE SCREW 2.3 X 10MM, 206.00 ,
03631074,SCREW HEADLESS 3.0 X 18MM, 921.85 ,
03631089,SCREW CORTICAL 2.3 X 16MM, 270.38 ,
03631091,SCREW CORTICAL 3.5 X 12 HEXALO, 224.03 ,
03631092,SCREW NON-LOCKING 3.5 X 26MM, 200.85 ,
03631096,SCREW CORTICAL 3.5 X 14 HEXALO, 224.03 ,
03631097,K-WIRE .054 MM, 38.63 ,
03631100,SCREW LOCKING 5 X 52 .5MM, 721.00 ,
03631101,SCREW LOCKING 5 X 35MM, 646.33 ,
03631102,FEM STEM 5MM LTRL CMNTLSS PLSM," 6,437.50 ",
03631103,FEM HEAD BIOLOX 28MM +3.5MM," 3,862.50 ",
03631109,TIB INSRT 1-2 18MM PCL SBSTTTN," 3,347.50 ",
03631112,MOBI-C IMPLANT 5MM15X17MM STND," 24,462.50 ",
03631115,SCREW CANN 4MM X 30MM, 674.65 ,
03631118,SCREW CROSS PIN BONE 1.7X4MM S, 152.37 ,
03631119,SCREW CROSS PIN BONE 1.7X3MM S, 157.23 ,
03631135,PLATE 6 X 14 X 12MM," 3,592.13 ",
03631137,PLATE MDCO," 4,519.13 ",
03631138,SCREW LCKNG 3.5 X 26, 592.25 ,
03631139,SCREW LCKNG 3.5 X 16, 592.25 ,
03631140,SCREW NON-LCKNG 3.5 X 30, 314.15 ,
03631141,SCREW HEADLESS 3.0 X 20MM, 736.45 ,
03631142,WEDGE EVANS ALLOPURE 12X22MMX2," 4,774.05 ",
03631143,WEDGE EVANS ALLOPURE 6X24MMX14," 5,834.95 ",
03631173,SCREW CANN 3 X18MM  PT QUICK F, 386.25 ,
03631174,SCREW CANN 3X22MM  PT QUICK FX, 386.25 ,
03631177,HALF PIN SLFDRL APEX HA 5X150X, 454.23 ,
03631182,FEMORAL HEAD BIOLOX 32MM +4MM," 3,862.50 ",
03631190,CAGE LATERAL 8DEG 18 X 50 X8MM," 13,825.18 ",
03631192,IMPLNT TALAR-FIT 9MM," 6,004.90 ",
03631212,INSRT TIB PCL SUBSTT SZ 1-2X12," 2,832.50 ",
03631231,K-WIRE 1.6MM, 38.63 ,
03631237,SCREW CORT LOCK 3.5X12MM, 327.03 ,
03631238,SCREW CORT LOCK 3.5MMX14MM, 327.03 ,
03631241,PLATE ULNAR SHORTENING PLATE," 2,407.63 ",
03631244,SHELL ACETAB FLRD W/O HOLES 52," 4,463.51 ",
03631245,LINER ACETB FMP 36MM LINER EPL," 4,461.19 ",
03631246,HIP FEM P2  POROUS  CT SZ 10.5," 11,819.25 ",
03631247,SCREW LCKNG 3.5 X 18, 888.38 ,
03631248,SCREW NONLCKNG 3.5 X 20, 888.38 ,
03631249,SCREW LCKNG 3.5 X 22, 888.38 ,
03631250,SCREW LCKNG 3.5 X 24, 888.38 ,
03631251,PLATE LAPIDUS 4MM," 5,793.75 ",
03631252,PIN FIX TEMP, 293.55 ,
03631253,PM GEN ENDURITY SR PM1160," 11,000.40 ",
03631258,SCREW WRIST LOCK HD7 2.5X10MM, 332.18 ,
03631259,SCREW CANN 3.0MM X 26MM, 489.25 ,
03631263,MESH HERNIA VENTRALIGHT ST 8X1," 4,609.25 ",
03631264,SCREW NONLCKNG 2.7MM X 14MM, 360.50 ,
03631265,SCREW NONLCKNG 2.7MM X 12MM, 360.50 ,
03631266,PLATE STRGHT 4 HOLE HOOK 2.7MM," 4,377.50 ",
03631274,STENT URTRL UNVRS FRM 6FX22-32, 127.46 ,
03631275,STENT URTRL UNVRS FRM 6FRX22CM, 127.46 ,
03631276,PLATE L-SHAPE 6-HOLE 1.7MM, 127.46 ,
03631277,STENT URTRL UNVRS FRM 6FRX24CM, 127.46 ,
03631278,STENT URTRL UNVRS FRM 6FRX26CM, 127.46 ,
03631279,STENT URET FIRM W/O WR 6FX28CM, 127.46 ,
03631280,STENT URET FIRM W/O WR 8FX22CM, 127.46 ,
03631281,STENT URET FIRM W/O WR 8FX24CM, 127.46 ,
03631282,STENT URET FIRM W/O WR 8FX26CM, 127.46 ,
03631283,STENT URET FIRM W/O WR 8FX28CM, 127.46 ,
03631313,SCREW CANN 2.4 X10MM, 489.25 ,
03631315,SCREW HEADED 3.0 X 20MM, 759.63 ,
03631316,SCREW HEADED 3.0 X 24MM, 759.63 ,
03631317,WIRE KIRSCHNER 1.1X150MM, 90.13 ,
03631319,WIRE KIRSCHNER F/SCREW 1.4MM, 90.13 ,
03631323,SCREW CANN 4.0MM X 40MM, 489.25 ,
03631325,WIRE KIRSCHNER .045X6IN, 64.38 ,
03631328,PM GEN INTUA CRT-P V 273," 30,900.00 ",
03631329,SCREW HEADED 3.0 X 18MM, 759.63 ,
03631330,IMP SUBTALAR TALAR-FIT 8MM," 6,004.90 ",
03631331,SCREW CANN 2.4 X14MM, 489.25 ,
03631332,SCREW CAN CNTRSNKQUKRLS 2.0/4.," 1,094.38 ",
03631339,WEDGE EVANS ALLOPURE 22X20MMX1," 7,294.98 ",
03631342,INTERBODY FUSION DEVICE KIT," 21,887.50 ",
03631346,CAGE LATERAL 8DEG 22 X 50 X8MM," 13,825.18 ",
03631347,CAGE LATERAL 8 DEG 22 X 50 X10," 13,825.18 ",
03631350,OSTEOSPONGE 10CC 4-10MM CHIPC," 1,957.00 ",
03631358,RTM COLLAGEN MEMBRANE 15 X 20, 238.19 ,
03631359,OSTEOSELECT DBM PUTTY 5CCSYRIN," 1,493.50 ",
03631360,ICD FORTIFY ASSURE VR CD1357-4," 44,006.75 ",
03631362,SCREW CANN HEADLESS 3.0 X 24MM, 952.75 ,
03631367,SCREW HEADLESS 2X12MM, 952.75 ,
03631368,SCREW CANN HEADLESS 3.0 X 28MM, 952.75 ,
03631369,SCREW PT QUICKFIX CNNLTD 2.4X2, 373.38 ,
03631372,SCREW CANNULATED3.0MM X 28MM, 489.25 ,
03631385,STENT ENDOPRS WLLSTNT 16X90 75," 4,453.29 ",
03631392,IMPLANT TALAR-FIT 10MM," 6,004.90 ",
03631393,SCREW CANNULATED 3.0MM X 22MM, 489.25 ,
03631405,SCREW HEADED 3.0 X 16MM, 759.63 ,
03631406,INSRT EVOLUTION MP CS SZ3+ LT," 7,529.30 ",
03631407,INSRT TIB PCL SBSTTT 1-2 14MM," 2,832.50 ",
03631438,STENT EPIC VASCULAR 10X80MMX75," 3,090.00 ",
03631440,ROD POSITIONING, 170.72 ,
03631443,SCREW BONE MINI STL 18MM," 1,362.18 ",
03631444,SCREW NON-LCKNG 3.5 X 24, 450.63 ,
03631445,SCREW NON-LCKNG 3.5 X 28, 450.63 ,
03631446,PLATE BOW 0MM," 5,227.25 ",
03631447,PIN TEMP FIX PIN 58820006, 293.55 ,
03631449,SCREW CANN. 2.4 X16MM, 489.25 ,
03631450,SCREW LONG THRDD 3.2X18MM, 538.18 ,
03631453,GRAFT GORETEX VSC STRTCH 8MX40," 1,367.33 ",
03631468,HALF-PIN  2.5X80X15MM THREAD, 345.05 ,
03631483,SCREW CANN LAG TI 2X16MM, 489.25 ,
03631493,SCREW LOCK S/TAP T8 2.7X20MM, 469.68 ,
03631501,SCREW VA LOCK S/TAP SS2.7X32MM, 469.68 ,
03631505,NECK PROFEMUR PLUS SHRT 15 DEG," 1,030.00 ",
03631572,INSRT TIBIAL CNGRNT SZ 3-4X16M," 2,832.50 ",
03631574,SCREW NONLCKNG 2.7MM X 18MM, 324.71 ,
03631575,SCREW NONLCKNG 2.7MM X 20MM, 324.71 ,
03631576,SCREW LOCKING 2.7MM X 18MM, 695.25 ,
03631584,SCREW CANN 3.0MM X 20MM, 252.35 ,
03631602,DM PUTTY MTRXCLLCT SYR 5.0CC10," 2,832.50 ",
03631620,SCREW LCKNG 2.7MM X 20MM, 695.25 ,
03631621,PLATE 4-HOLE WEDGE 0MM 2.7MM," 4,171.50 ",
03631622,SCREW NON-LCKNG 2.7MM X 22MM, 695.25 ,
03631625,PM GEN ENDURITY DR PM2160," 12,122.84 ",
03631629,INTERBODY FSN DEVICE KIT 26X10," 20,355.38 ",
03631671,DURASPHERE INJ BULKING AGENT 1, 458.35 ,
03631678,KNEE IBL PRVN CMNTD CMPNNT 2T3," 3,862.50 ",
03631679,PATELLAR CMPNNT THREE PEG," 1,287.50 ",
03631680,SHELL PROVIDENT APICAL THREAD," 3,862.50 ",
03631681,LINER HOODED EXP ACTBLR 36MM," 3,090.00 ",
03631682,SCREW BONE  ACETABULAR, 386.25 ,
03631683,SYS PROCLASS HIP LATERAL STEM," 7,725.00 ",
03631684,FEM HEAD BIOLOX DELTA 36MM," 2,575.00 ",
03631685,CAGE LTRL 6DEG 18X50X10MM," 13,825.18 ",
03631692,SHELL BPLR GLDTR O D SZ49MMX32," 4,362.05 ",
03631702,SHELL APICAL THREAD PROVIDENT," 3,862.50 ",
03631703,FEMORAL HEAD BIOLOX DELTA  36M," 2,575.00 ",
03631727,KNEE PROVEN 18X80 FEM TIB STEM," 3,283.13 ",
03631740,SCREW LCKNG  2.4 X 14MM, 321.88 ,
03631741,SCREW LCKNG  2.4 X 12MM, 321.88 ,
03631743,SCREW NONLCKNG  2.4 X 14MM, 198.28 ,
03631774,PIN STEINMAN PT THRDDD 110X11., 125.15 ,
03631778,HEADED SCREW 3.0 X 26MM, 419.73 ,
03631794,PATELLAR COMPONENT 3 PEG SZ 32," 1,287.50 ",
03631797,FEMORAL KNEE CMPNNT CR-RT SZ2," 6,180.00 ",
03631804,KIT CORETRAK SHORT STERIPACK," 7,276.95 ",
03631806,IMPLNT EXTREMIFUSE 2.0MMX0 DEG," 3,334.63 ",
03631807,FLEXIGRAFT SEMITNDNSS TNDN 5X2," 2,178.45 ",
03631817,FEMORAL HEAD 36MM +5MM," 3,862.50 ",
03631818,UNI-SYN NECK 30X42 STNDCMNTLSS," 9,702.39 ",
03631836,SCREW NON-LCKNG  2.0 X 12MM, 198.28 ,
03631842,TEMP FIX PIN, 95.28 ,
03631844,IMPLNT SYS 1.1MM CMC MINI TGHT," 1,351.88 ",
27001332,OCTR TRIAL LEAD KIT 60CM 3086," 4,244.22 ",
27001334,BREAST TISS EXP 650ML354-6215," 3,903.55 ",
27001337,SCREW LOCKING 2.7MMX8MM, 346.12 ,
27001347,MESH PERFIX PLUG SM/MED, 705.77 ,
27001364,K-WIRE 1806-00505, 414.48 ,
36010010,BSPLT TIBIAL SZ 10R 333-02-110," 6,955.39 ",
36010020,BSPLT TIBIAL SZ 4L 333-01-104," 6,955.39 ",
36010030,BSPLT TIBIAL SZ 4R 333-02-104," 7,168.33 ",
36010040,BSPLT TIBIAL SZ 6L 333-01-106," 7,168.33 ",
36010050,BSPLT TIBIAL SZ 6R 333-02-106," 7,168.33 ",
36010060,BSPLT TIBIAL SZ 8L 333-01-108," 5,285.34 ",
36010070,BSPLT TIBIAL SZ 8R  333-02-108," 6,955.39 ",
36010240,CHIPS BONE CANC 15 03-0100-150, 865.88 ,
36010250,CHIPS BONE CANC 30 03-0100-300," 1,376.89 ",
36010320,COMPONENT SCLERAL BUCKLING 287, 48.83 ,
36010670,CUFF AMS OCCLUS 4.0CM 72404130," 10,214.50 ",
36010680,CUFF AMS OCCLUS 4.5CM 72404131," 10,214.50 ",
36010700,CUFF AMS OCCLUS 5.5CM 72404133," 10,214.50 ",
36010720,DOME PATELLA 3D 29MM130-03-029," 3,014.95 ",
36010730,DOME PATELLA 3D 32MM130-03-032," 3,165.42 ",
36010740,DOME PATELLA 3D 35MM130-03-035," 3,014.95 ",
36010750,DOME PATELLA 3D 38MM130-03-038," 3,014.95 ",
36010830,FEMUR  3D SZ 10R  233-02-110," 10,841.90 ",
36010840,FEMUR  3D SZ 4L 233-01-104," 10,841.90 ",
36010850,FEMUR  3D SZ 4R  233-02-104," 11,639.65 ",
36010860,FEMUR  3D SZ 6L 233-01-106," 11,639.65 ",
36010870,FEMUR  3D SZ 6R  233-02-106," 10,841.90 ",
36010880,FEMUR  3D SZ 8L 233-01-108," 8,239.54 ",
36010890,FEMUR  3D SZ 8R  233-02-108," 10,841.90 ",
36010950,GLIDECATH ANG TAP 100 LN CG416," 1,046.48 ",
36010960,GLIDECATH ANG TAP 100 LN CG508, 949.88 ,
36010980,GLIDECATH ANG TAP 65 LN CG507, 949.88 ,
36010990,GLIDECATH COBR1 65 LN C1 CG408," 1,046.48 ",
36011020,GLIDECATH HH 1 100 LN H1 CG513, 949.88 ,
36011030,GLIDEC STR TAP 100 LN ST CG506, 887.74 ,
36011040,GLIDECA STR TAP 65 LN ST CG412, 978.02 ,
36011050,GLIDECA STR TAP 65 LN ST CG505, 887.74 ,
36011060,GRAFT COLLAGEN HUM DRM 1180040," 4,601.93 ",
36011080,GRAFT CV BYP FLX DISTFLO 6X80," 4,576.57 ",
36011150,GRAFT SURG XENAMATRIX 1161928," 34,769.04 ",
36011170,GRAFT VAS STRETCH 4MMX7MMX45CM," 1,433.67 ",
36011200,GRAFT VASC HEMASHIELD  0.6X7.6, 249.13 ,
36011210,GRAFT VASC SM BEAD 6MMX80CM," 3,807.02 ",
36011230,GRAFT VASCULAR 12X6MM," 1,718.12 ",
